model_family,selected_feature_set,validation_f1,validation_precision,validation_recall,validation_accuracy,frozen_hyperparameters,preprocessing,final_test_rule
logistic_regression,augmented,0.8419540229885057,0.8905775075987842,0.7983651226158038,0.9363425925925926,C=0.1; class_weight=none; solver=liblinear; L2; threshold=0.5,log1p_conflict=True; one-hot country/month; StandardScaler fit on final training data only,refit once on train+validation with frozen configuration; evaluate once on test
knn,baseline,0.7704402515723271,0.9107806691449815,0.667574931880109,0.9155092592592593,k=21; weights=distance; Euclidean distance,log1p_conflict=True; one-hot country/month; StandardScaler fit on final training data only,refit once on train+validation with frozen configuration; evaluate once on test
decision_tree,baseline,0.8189910979228486,0.8990228013029316,0.7520435967302452,0.9293981481481481,criterion=entropy; max_depth=3; min_samples_leaf=20; random_state=42,one-hot country/month; raw numeric features; no scaling; no log1p,refit once on train+validation with frozen configuration; evaluate once on test
adaboost,augmented,0.8253012048192772,0.9225589225589226,0.7465940054495913,0.9328703703703703,decision stump max_depth=1; n_estimators=200; learning_rate=0.5; random_state=42,one-hot country/month; raw numeric features; no scaling; no log1p,refit once on train+validation with frozen configuration; evaluate once on test
mlp,baseline,0.8309859154929577,0.8600583090379009,0.8038147138964578,0.9305555555555556,architecture=64-32; learning_rate=0.001; Adam; batch_size=1024; threshold=0.5,log1p_conflict=True; one-hot country/month; StandardScaler; PyTorch feed-forward network; validation-selected early stopping,refit using train+validation with frozen architecture/hyperparameters and a fixed epoch policy derived from validation; evaluate once on test
